timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 3:04:31 pop. GMT +1,23,FMF UL,Magistrski študijski program MATEMATIKA (Master’s Study Program MATHEMATICS),2. letnik podiplomski (2nd year postgraduate),Xiaomi,POCO X5 Pro,200–400 € (€200–400),2021.0,4.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:05:47 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),,Apple,Iphone 13 pro,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Nimam namena,Ne vem še (Not sure yet),Podedoval novega,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:11:01 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),,Samsung,Galaxy A33,200–400 € (€200–400),2022.0,3.0,V naslednjem letu (In the next year),Slaba baterija (Poor battery performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:12:11 pop. GMT +1,20,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Apple,iPhone 15 Pro,Nad 800 € (Over €800),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Pokvaril se je (It broke down),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:13:01 pop. GMT +1,20,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Apple,Iphone 12 mini,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2021.0,4.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:15:14 pop. GMT +1,23,FERI UM,Računalništvo in informacijske tehnologije Uni (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Apple,iPhone16 Pro,Nad 800 € (Over €800),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 3:58:16 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),,Apple,iPhone 13 Mini,Nad 800 € (Over €800),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Prodal_a (Sell it),Slaba baterija (Poor battery performance),Prodal_a (Sold it),
2025/11/04 4:03:03 pop. GMT +1,24,FERI UM,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Samsung,S22,Nad 800 € (Over €800),2023.0,2.0,Čez 2 leti (In 2 years),Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 4:03:50 pop. GMT +1,23,FERI UM,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Apple,iPhone 16 Pro,Nad 800 € (Over €800),2025.0,0.0,Čez 5 leta (In 5 years),Počasno delovanje / zastarelost (Slow or outdated performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),Želel_a sem novejši model (Wanted a newer model),Podaril_a (Gave it away),
2025/11/04 4:15:21 pop. GMT +1,23,FERI UM,Računalništvo in informacijske tehnologije Uni (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Apple,11 Pro,Nad 800 € (Over €800),2019.0,6.0,V naslednjih 6 mesecih (In the next 6 months),Počasno delovanje / zastarelost (Slow or outdated performance),Ne vem še (Not sure yet),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
