timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 12:13:27 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Samsung,Samsung Galaxy A52s 5G,Do 200 € (Up to €200),2021.0,4.0,V naslednjem letu (In the next year),Želim novejši model (I want a newer model),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 12:20:08 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Oneplus,Nord 10 5G,200–400 € (€200–400),2022.0,3.0,Čez 3 leta (In 3 years),Želim novejši model (I want a newer model),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),Zares nočem zamenjat telefona in ga bom imela dokler bo dihal...in potem bom verjetno ostala na oneplusu ali pa gem na google
2025/11/04 12:22:25 pop. GMT +1,22,FMF UL,Magistrski študijski program FIZIKA (Master’s Study Program PHYSICS),1. letnik (1st year),Samsung,Galaxy S22+,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 12:25:28 pop. GMT +1,22,FMF UL,,1. letnik podiplomski (1st year postgraduate),Apple,Iphone 13,400–600 € (€400–600),2022.0,3.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Ne vem še (Not sure yet),Pokvaril se je (It broke down),Zavrgel_a (Discarded it),
2025/11/04 12:33:09 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),3. letnik (3rd year),Samsung,Samsung Galaxy A51,200–400 € (€200–400),2020.0,5.0,V naslednjem letu (In the next year),Slaba baterija in starost,Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Zastarelost,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 12:33:36 pop. GMT +1,21,FRI UL,"Računalništvo in informatika, visokošolski program (Computer Science and Informatics, higher professional program)",3. letnik (3rd year),Apple,16 pro max,600–800 € (€600–800),2025.0,0.0,Čez 2 leti (In 2 years),Stari telefon dam mami,Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),Operaterjeva ponudba (Operator offer),Podaril_a (Gave it away),
2025/11/04 12:34:06 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Samsung,SM-A546B/DS,200–400 € (€200–400),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",,Ne vem še (Not sure yet),Pokvaril se je (It broke down),"nekam dal, ne vem kam","https://youtu.be/0rlS80hRIVQ
it's not a rickroll, that song's link is https://youtu.be/dQw4w9WgXcQ"
2025/11/04 12:38:28 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),3. letnik (3rd year),Xiaomi,Redmi note 14,Do 200 € (Up to €200),2025.0,0.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 12:39:51 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Xiaomi,Note 9 Pro ,200–400 € (€200–400),2020.0,5.0,Čez 2 leti (In 2 years),Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Počasno delovanje,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 12:40:12 pop. GMT +1,24,FMF UL,Magistrski študijski program PEDAGOŠKA FIZIKA (Master’s Study Program EDUCATIONAL PHYSICS),Absolvent po 2. letniku,Samsung,A54,400–600 € (€400–600),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Nezanesljivo delovanje,Obdržal kot off-line predvajalnik glasbe,"Že preventivno uporabljam nastavitve, ki naj bi podaljšale življenjsko dobo (npr. polnjenje le do 80 %), podobno prilagajam tudi uporabo.

Pri prejšnjem telefonu je bila za kriva kombinacija faktorjev (nezanesljivo delovanje, premalo vgrajene shrambe za vse uporabljane aplikacije, počasno delovanje)."
2025/11/04 12:41:51 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Samsung,Samsung galaxy note 10+,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2019.0,6.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Ne vem še (Not sure yet),Slaba baterija (Poor battery performance),Podaril_a (Gave it away),Iskreno mi je uredu imeti isti telefon dokler je uporaben:)
2025/11/04 12:45:18 pop. GMT +1,22,FRI UL,"Računalništvo in matematika, univerzitetni interdisciplinarni program (Computer Science and Mathematics, university interdisciplinary program)",3. letnik (3rd year),Samsung,Galaxy A52 5G,200–400 € (€200–400),2021.0,4.0,V naslednjih 6 mesecih (In the next 6 months),Poškodbe (Damage),Oddal_a v reciklažo / zbirni center (Recycle / take to collection center),Želel_a sem novejši model (Wanted a newer model),Ne vem (I don’t know),
2025/11/04 12:45:24 pop. GMT +1,20,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Sony,Sony,Do 200 € (Up to €200),2019.0,6.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Podaril_a (Gave it away),
2025/11/04 1:00:15 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Apple,15 pro,Nad 800 € (Over €800),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:01:20 pop. GMT +1,21,FMF UL,,2. letnik (2nd year),Samsung,Samsung A35,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Glej odgovor zgoraj,Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:05:04 pop. GMT +1,22,FMF UL,Univerzitetni študijski program MATEMATIKA (University Study Program MATHEMATICS),3. letnik (3rd year),Samsung,Galaxy S,200–400 € (€200–400),2021.0,4.0,Čez 3 leta (In 3 years),Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:09:43 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Samsung,A05s,Do 200 € (Up to €200),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Ne vem še (Not sure yet),Pokvaril se je (It broke down),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:09:56 pop. GMT +1,22,FMF UL,Magistrski študijski program FIZIKA (Master’s Study Program PHYSICS),1. letnik podiplomski (1st year postgraduate),Samsung,S22 Ultra,Nad 800 € (Over €800),2022.0,3.0,Čez 2 leti (In 2 years),Konec varnostnih posodobitev,Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:10:41 pop. GMT +1,23,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),3. letnik (3rd year),Samsung,S25,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025.0,0.0,Čez 5 leta (In 5 years),Želim novejši model (I want a newer model),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:16:06 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Samsung,A12,Do 200 € (Up to €200),2021.0,4.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",,,"Bil je zelo star, ni imel funkcij, ki sem jih potreboval.","Obdržal, bolj za spomin.",
2025/11/04 1:17:29 pop. GMT +1,24,FMF UL,,,,,,,,,,,,,
2025/11/04 1:25:03 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Google,Google Pixel 7a,Do 200 € (Up to €200),2025.0,0.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Ne vem še (Not sure yet),menjava OS na varnejšega,Prodal_a (Sold it),
2025/11/04 1:30:08 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),Absolvent (končujem 3.letnik),Samsung,Samsung Galaxy A54,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Ne vem še (Not sure yet),Dobila kot darilo nov telefon.,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 1:52:08 pop. GMT +1,20,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Samsung,Galaxy S22,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Določene aplikacije so prenehala delovati, ker je bil prestar operacijski sistem in ni imel več posodobitev",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
