timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 6:57:42 pop. GMT +1,24,Faculty of Computer and Information Science,"Data Science, master’s program specialization",1st year postgraduate,Samsung,Galaxy A35,Up to €200,2024.0,1.0,In 4 years,I want a newer model,Give it to a family member/friend,"Damage - screen, water, etc.",Recycled it,"Telefon je bil kupljen pri operaterju in je bil deležen popusta, zato je cen nižja. Po potrebi pri telefonih zamenjam baterijo, polomljen zaslon itd če je to cenovno smotrno in so deli še dostopni. Prejšnjega sem moral menjati ker je bila škoda prevelika."
2025/11/04 6:59:32 pop. GMT +1,23,Faculty of Computer and Information Science,"Computer Science and Informatics, master’s program",1st year postgraduate,Motorola,Motorola Edge 20,€200–400,2021.0,4.0,In the next year,Poor battery performance,Keep it as a backup phone,Počasno delovanje / zastarelost,Sold it,"MA JS SEM MISLU DA JE TO ANKETA KOLK UR VRŽEMO STRAN NA FONU, CLICKBAIT TITLE, ANKETA NE VSEBUJE NOBENEGA VPRAŠANJA O UPORABI TELEFONA
Ampak vseeno vredu anketa :)"
2025/11/04 7:08:26 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Samsung,Samsung Galaxy s21 FE,€200–400,2023.0,2.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Give it to a family member/friend,It broke down,Sold it,
2025/11/04 7:09:45 pop. GMT +1,22,Faculty of Computer and Information Science,"Computer Science and Informatics, master’s program",1st year postgraduate,Samsung,S24 Ultra,Over €800,2024.0,1.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 7:29:29 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program MATHEMATICS,1st year,Samsung,Samsung Galaxy S21 FE 5G,€200–400,2023.0,2.0,In the next year,Slow or outdated performance,Keep it as a backup phone,Premalo prostora,Kept it as a backup phone,
2025/11/04 7:45:44 pop. GMT +1,24,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Google,pixel 9,€600–800,2025.0,0.0,I don’t plan to replace it as long as it works,Damage,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 7:57:03 pop. GMT +1,24,Faculty of Computer and Information Science,"Computer Science and Informatics, master’s program",1st year postgraduate,Oneplus,OnePlus 8T,€400–600,2021.0,4.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 7:57:47 pop. GMT +1,25,Faculty of Computer and Information Science,"Computer Science and Informatics, master’s program",2nd year postgraduate,Apple,iPhone 16 Pro,Over €800,2024.0,1.0,I don’t plan to replace it as long as it works,"Primanjkovanje prostora na aplovih telefonih, ampak niman zaenkrat namena",Give it to a family member/friend,Dobil sem ga kot darilo,Gave it away,
2025/11/04 8:13:09 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program MATHEMATICS,2nd year,Huawei,Honor 9 Lite,Up to €200,2019.0,6.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,Počasnost,Kept it as a backup phone,
2025/11/04 8:25:56 pop. GMT +1,25,Faculty of Computer and Information Science,"Computer Science and Informatics, master’s program",2nd year postgraduate,Google,Pixel 4a 5G,€400–600,2021.0,4.0,In the next year,Podpora operacijskega sistema,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 8:31:30 pop. GMT +1,22,Faculty of Mathematics and Physics,Higher Professional Study Program APPLIED PHYSICS (formerly Physical Measurement Technology,1st year,Honor,8x,€200–400,2022.0,3.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,It broke down,Recycled it,
2025/11/04 8:39:08 pop. GMT +1,20,Faculty of Computer and Information Science,"Computer Science and Informatics, university program",2nd year,Apple,iphone 12,€600–800,2021.0,4.0,In the next year,Slow or outdated performance,Keep it as a backup phone,It broke down,Discarded it,
2025/11/04 8:42:33 pop. GMT +1,20,Faculty of Computer and Information Science,"Computer Science and Informatics, university program",2nd year,Samsung,A52,I don’t know / received it as a gift,2022.0,3.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Not sure yet,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 8:46:27 pop. GMT +1,21,Faculty of Computer and Information Science,"Computer Science and Informatics, university program",3rd year,Samsung,Galaxy S21 FE,€600–800,2022.0,3.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
