Id,Start time,Completion time,Email,Name,Language,Koliko ste stari?,Ozna?ite spol.,"Na kateri fakulteti študirate? (Študenti interdisciplinarnih programov, ki potekajo na ve?ih fakultetah, ozna?ite poljubno fakulteto.)",Na kateri stopnji študija ste trenutno?,Katere znamke telefon trenutno primarno uporabljate?,Kolikšna je bila cena telefona iz prejšnjega vprašanja ob nakupu?,Katerega leta ste kupili vaš trenutni primarni telefon?,Kdaj imate namen vaš trenutni primarni telefon zamenjati?,"Zakaj ste zamenjali vaš prejšnji telefon) (?e niste popolnoma prepri?ani, navedite najverjetnejši vzrok.)",Kaj ste naredili z vašim prejšnjim telefonom po zamenjavi?,Koliko odsluženih telefonov imate trenutno spravljenih doma?,"Zakaj ste izbrali tak na?in odvrženja odslužene naprave? (Izberite vse, kar velja.)",Ali ste pred reševanjem te ankete že slišali za odpadno elektri?no in elektronsko opremo (t. i. e-odpadke)?,"Kaj od naštetega, po vašem mnenju, spada med e-odpadke?","Kaj je, po vašem mnenju, glavni razlog, da študenti starih telefonov ne odvržejo v zbirališ?a za e-odpadke?","Kako bi, po vašem mnanju, lahko k izboljšanju znanja o e-odpadkih in pravilnem odvrženju starih telefonov pripomogla vaša fakulteta oz. univerza?"
47,12/20/2025 21:25,12/20/2025 21:36,anonymous,,Slovenš?ina,24,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Med 400€ in 600€.,2025,Nimam ga namena zamenjati dokler deluje.,Dobil sem novega za darilo.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;,Da,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Oddalenost primernih zbirališ?/vedenje kje so ta zbirališ?a.,"Povezava na spletni strani do lokacij možnih zbirališ?, morda bi zraven lahko bilo dopisano kako se korektno lo?i e-odpadke (kaj spada med njih)"
48,12/20/2025 21:39,12/20/2025 21:43,anonymous,,Slovenš?ina,22,Ženska,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Huawei ,Ne vem. / Ne spomnim se.,Pred letom 2020.,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Ne spomnim se,,-;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Ker se jim ne ljubi hodit tja / ne najdejo ?asa za it do zbirališ?a.,"Lahko bi nastavili škatlo za e-odpadke, ki bi jih potem faks odpeljal do zbirališ?a. "
49,12/20/2025 21:55,12/20/2025 22:01,anonymous,,Slovenš?ina,22,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 400€ in 600€.,2025,Nimam ga namena zamenjati dokler deluje.,"Telefon je nehal delovati, ker je padel v vodo.",Oddal/-a sem ga v center za ravnanje z odpadki.,,Okoljska odgovornost.;,Da,Prenosni in tabli?ni ra?unalniki;Polnilniki in kabli;Pametni telefoni;Gospodinjski elektri?ni aparati;,"Pogosto ne vedo, kje se nahajajo, da obstajajo ali pa se jim zdi enostavno lažje narediti kaj drugega, kot na primer vre?i med komunalni odpadke.","Prostor kamor lahko študenti in zaposleni oddajo manjše e-odpadke kot so ra?unalniki in telefoni, saj bo bilo to priro?no in bi morda kakšna oseba ve? pomislila da ko zavrže telefon ga odda na pravo mesto."
50,12/20/2025 22:00,12/20/2025 22:03,anonymous,,Slovenš?ina,22,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Nothing,Med 200€ in 400€.,2025,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Lenoba,Nimam pojma
51,12/20/2025 22:03,12/20/2025 22:04,anonymous,,English (United Kingdom)?,19,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Apple,Med 800€ in 1000€.,2025,Nimam ga namena zamenjati dokler deluje.,Slaba baterija.,Podaril/-a sem ga prijateljem ali družinskim ?lanom.,,Udobje / priro?nost.;,Ne,Pametni telefoni;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;,,
52,12/20/2025 22:03,12/20/2025 22:10,anonymous,,Slovenš?ina,24,Moški,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Motorola,Med 200€ in 400€.,2025,Nimam ga namena zamenjati dokler deluje.,Mobilna banka je ustavila podporo mojemu takrat precej zastarelemu OS,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Lenoba;,Da,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;,"Iskreno se nisem slišal za nikogar, ki bi svoj star telefon odvrgel. Popolnoma vsaka oseba s katero sem imel pogovor o menjavi telefona, je rekla, da ga ima shranjenega nekje doma, ce se slucajno kaj zgodi z novim telefonom.","Že sama omemba bi verjetno zadostovala. Ni treba nobene propagandne kampanje. Samo omenit je treba, da obstajajo odlagalisca, in kje so, in zakaj jih je smiselno koristit."
53,12/20/2025 22:15,12/20/2025 22:19,anonymous,,English (United Kingdom)?,22,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Samsung,Med 200€ in 400€.,2024,Leta 2029,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Pomanjkanje ozaveš?enosti.;,Da,Pametni telefoni;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Lazyness,By posting posters informing people of where to dispose of e waste. Im sure the student council woudnt mind a poster like that on their board.
54,12/20/2025 22:24,12/20/2025 22:26,anonymous,,Slovenš?ina,23,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Med 200€ in 400€.,2022,Leta 2027,Slaba baterija.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;,Ker so koristni za obdržat,Boljši bi bil kak bolj splošen sistem ne pa da to ureja univerza
55,12/20/2025 22:36,12/20/2025 22:37,anonymous,,Slovenš?ina,20,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Apple,Ve? kot 1000€.,2023,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,Ve? kot 10,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;Skrb glede varnosti osebnih podatkov.;Pomanjkanje ozaveš?enosti.;Okoljska odgovornost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;,,
56,12/20/2025 22:37,12/20/2025 22:39,anonymous,,English (United Kingdom)?,22,Ženska,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Apple,Ne vem. / Ne spomnim se.,Pred letom 2020.,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;Skrb glede varnosti osebnih podatkov.;Pomanjkanje ozaveš?enosti.;,Da,Baterije;Nisem prepri?an/-a;,"Inconvenience, data privacy concerns",Posters? Holding an e-waste collection point at the faculty.
57,12/20/2025 22:41,12/20/2025 22:43,anonymous,,Slovenš?ina,23,Ženska,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Samsung,Med 400€ in 600€.,2024,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Prodal/-a sem ga drugi osebi.,,Finan?na korist.;Udobje / priro?nost.;Okoljska odgovornost.;,Da,Pametni telefoni;Baterije;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;Polnilniki in kabli;,"Se jim ne da iti do njih, mogo?e tudi mislimo ""da enkrat nam bo pa mogo?e prišlo prav"" itd.","Otoki za odlaganje odpadkov, plakate o ozaveš?anju"
58,12/20/2025 22:42,12/20/2025 22:44,anonymous,,Slovenš?ina,20,Ženska,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Samsung,Ne vem. / Ne spomnim se.,2021,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;Skrb glede varnosti osebnih podatkov.;,Ne,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
59,12/20/2025 22:47,12/20/2025 22:48,anonymous,,Slovenš?ina,20,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 600€ in 800€.,2021,Nimam ga namena zamenjati dokler deluje.,Zmanjkuje prostora.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,sentimentalnost,plakati
60,12/20/2025 22:46,12/20/2025 22:50,anonymous,,Slovenš?ina,21,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Google,Ve? kot 1000€.,2025,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Pomanjkanje primernih odlagališ? v moji bližini.;Pomanjkanje ozaveš?enosti.;Udobje / priro?nost.;,Ne,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"Ker ne vejo da le te obstajajo, ter ?e stari telefon še ni ?isto pokvarjen je priro?no meti vsaj eno hitro rezervo doma.",Boljše obveš?anje. Oglasi o odlagališ?ih e-odpadkov.
